budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
150,dpa_max_target_token_validity,radius_derived,104,88.0,0.8461538461538461,15,,,,,,,,,,,,,,0.8461538461538461,84.61538461538461,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
150,dpa_weakest_token_stability,radius_derived,104,78.0,0.75,15,,,,,,,,,,,,,,0.75,75.0,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,26.0,78.0,0.75,gurobi,OPTIMAL,26.0,26.0,0.0,0.9980245290025778,1.0,2.0,0.75,75.0,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
150,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,16.0,88.0,0.8461538461538461,gurobi,OPTIMAL,16.0,16.0,0.0,1.0621635960014828,1.0,2.0,0.8461538461538461,84.61538461538461,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
200,aggregate_tpa_mcp_validity,radius_derived,104,82.0,0.7884615384615384,15,,,,,,,,,,,,,,0.7884615384615384,78.84615384615384,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
200,dpa_max_target_token_validity,radius_derived,104,83.0,0.7980769230769231,15,,,,,,,,,,,,,,0.7980769230769231,79.8076923076923,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
200,dpa_weakest_token_stability,radius_derived,104,67.0,0.6442307692307693,15,,,,,,,,,,,,,,0.6442307692307693,64.42307692307693,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
200,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,37.0,67.0,0.6442307692307693,gurobi,OPTIMAL,37.0,37.0,0.0,0.923138027999812,1.0,2.0,0.6442307692307693,64.42307692307693,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
200,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,21.0,83.0,0.7980769230769231,gurobi,OPTIMAL,21.0,21.0,0.0,0.9972345599999244,1.0,2.0,0.7980769230769231,79.8076923076923,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
249,aggregate_tpa_mcp_validity,radius_derived,104,66.0,0.6346153846153846,15,,,,,,,,,,,,,,0.6346153846153846,63.46153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
249,dpa_max_target_token_validity,radius_derived,104,66.0,0.6346153846153846,15,,,,,,,,,,,,,,0.6346153846153846,63.46153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
249,dpa_weakest_token_stability,radius_derived,104,35.0,0.3365384615384615,15,,,,,,,,,,,,,,0.3365384615384615,33.65384615384615,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
249,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,69.0,35.0,0.3365384615384615,gurobi,OPTIMAL,69.0,69.0,0.0,0.4862028369971085,1.0,2.0,0.3365384615384615,33.65384615384615,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
249,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,38.0,66.0,0.6346153846153846,gurobi,OPTIMAL,38.0,38.0,0.0,0.8119320090008841,1.0,2.0,0.6346153846153846,63.46153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
0,aggregate_tpa_mcp_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
0,dpa_max_target_token_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
0,dpa_weakest_token_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
0,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0394268030031526,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
0,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.0759525670000584,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
1,aggregate_tpa_mcp_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
1,dpa_max_target_token_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
1,dpa_weakest_token_stability,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
1,joint_row_column_stability_milp,fixed_budget_adversarial_success,77,,,20,500.0,490.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.300018882000586,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
1,joint_row_column_validity_milp,fixed_budget_adversarial_success,77,,,20,500.0,351.0,0.0,77.0,1.0,gurobi,OPTIMAL,-0.0,-0.0,0.0,0.3781366330003948,1.0,2.0,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
3,aggregate_tpa_mcp_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
3,dpa_max_target_token_validity,radius_derived,77,77.0,1.0,20,,,,,,,,,,,,,,1.0,100.0,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
3,dpa_weakest_token_stability,radius_derived,77,76.0,0.987012987012987,20,,,,,,,,,,,,,,0.987012987012987,98.7012987012987,1B full H=20,1b_full_targets2,77,110,33,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
